reds,delta_mu
0.00853,0.026932420092966553
0.00853,0.026932420092966553
0.00966,0.026149973828435407
0.00966,0.026149973828435407
0.00966,0.026149973828435407
0.01029,0.022761642987673907
0.00998,0.03694019684320542
0.00998,0.03694019684320542
0.00998,0.03695130379102143
0.00998,0.03695130379102143
0.01051,0.021543649141434595
0.01051,0.021543649141434595
0.00957,0.034765981433980714
0.00957,0.034765981433980714
0.009,0.06327204024876844
0.0105,0.02501517735918852
0.0105,0.02501517735918852
0.0105,0.02501517735918852
0.01042,0.007319502621216147
0.00979,0.041665488108489454
0.00979,0.041665488108489454
0.00921,0.0572904993624936
0.00921,0.0572904993624936
0.01042,0.04402151947660923
0.0098,0.028305592681144052
0.00958,0.0432104008865701
0.01049,0.008633667958821487
0.01049,0.008633667958821487
0.01048,0.0022824309880411535
0.00993,0.04324373249484769
0.00993,0.04323803870470246
0.0104,0.01732155774717504
0.01238,0.015090172051084386
0.01238,0.015090172051084386
0.01096,0.02809636413779348
0.01096,0.028053374794651257
0.01096,0.028053374794651257
0.01189,0.027849180997842636
0.01168,0.04525547625930427
0.01275,0.013720040343451163
0.01244,0.03946921973613998
0.01142,0.04530664979629863
0.0126,0.05460431805442609
0.0122,-0.01237671136974813
0.0122,-0.01237671136974813
0.01247,-0.006879101137038094
0.01247,-0.006879101137038094
0.01407,0.014036412128510554
0.01306,0.026981417975279073
0.01306,0.026981417975279073
0.01309,0.04229397672172623
0.01309,0.04229397672172623
0.01222,0.03495121549504047
0.01222,0.03495121549504047
0.01334,0.02221315724759563
0.01334,0.02221315724759563
0.01288,0.005220901579939967
0.01288,0.005220901579939967
0.01288,0.005220901579939967
0.0136,-0.01134634786094581
0.0136,-0.01134634786094581
0.0136,-0.01134634786094581
0.01314,0.029173088235799286
0.01361,0.0044733060583263175
0.01434,0.015189741673803225
0.014,0.026774922605313986
0.014,0.026774922605313986
0.01406,0.003685541618021422
0.01424,0.02476301698454969
0.01386,0.001401520941312344
0.01386,0.001401520941312344
0.01509,0.026082199042732804
0.01509,0.026082199042732804
0.01509,0.026082199042732804
0.01416,0.017120047576382778
0.01504,0.014561194205249126
0.01457,-0.011399660159398485
0.0142,-0.008444095316515972
0.01422,-0.008480255649840177
0.01503,0.024735647006504824
0.01503,0.024735647006504824
0.01448,0.002275973831474859
0.01429,-0.0071559956949925965
0.01472,0.01842434876577527
0.01449,-0.007159238076595338
0.01402,0.041213744637641325
0.01483,0.013316865160486538
0.01483,0.013316865160486538
0.01509,0.01961504929719468
0.01495,0.033362192083560616
0.01529,0.015399775855315195
0.01522,0.015427100983451366
0.01518,0.031211039111582586
0.01566,0.06413996581350756
0.01572,0.032903105743417864
0.01493,0.004985546574120353
0.01534,0.015324188037694392
0.01534,0.015324188037694392
0.01534,0.015207737489441129
0.01534,0.015207737489441129
0.01592,0.038671386198409145
0.01592,0.038671386198409145
0.01506,0.006406374000134579
0.01506,0.006406374000134579
0.01539,0.013968661489446274
0.01527,0.007035338313305293
0.01629,0.016744978794962673
0.01629,0.01687174619584933
0.01556,0.03377768501112529
0.01556,0.03377768501112529
0.01579,0.010665510297878392
0.01619,0.046868455967164484
0.01579,-0.01144475879632365
0.01579,-0.01144475879632365
0.01538,0.04181623700840152
0.01636,0.05706076911375737
0.01619,0.05409622055097135
0.01595,0.01830772474072525
0.0157,-0.006421258668774031
0.01612,0.010497316049078026
0.01581,0.0187126456370265
0.01633,0.005170386609793796
0.0163,0.026527874279649328
0.01632,0.053032728958457884
0.01646,0.01989714694912055
0.01646,0.01989714694912055
0.01601,0.015187569491074032
0.0161,0.015085372768161999
0.0161,0.015085372768161999
0.01671,0.011312408126154416
0.01678,0.044823941782710174
0.01673,0.009378877878616488
0.01661,0.05370199962062587
0.01658,0.01676823660751757
0.01658,0.01676823660751757
0.01697,0.00949955735919458
0.01649,0.01518593802013187
0.01649,0.01518593802013187
0.0168,0.018864679424589043
0.0168,0.018864679424589043
0.01694,0.04692681422446143
0.01709,-0.012107536743290424
0.01709,-0.012107536743290424
0.01646,0.01612267226187344
0.01774,0.009473332126774243
0.01774,0.009473332126774243
0.01718,0.01691399648113444
0.01748,0.018232110626388052
0.01734,0.009929292426782588
0.01734,0.009929292426782588
0.01739,0.05020141053915253
0.01739,0.05020141053915253
0.01765,0.04601801964065549
0.01791,0.03646015557455583
0.01805,0.049605816544603124
0.01918,0.04359873815833967
