SGX,SGY,SGZ,vx,vy,vz
-39.0625,0.0,-39.0625,254.24905395507812,202.51434326171875,-224.24334716796875
15.625,0.0,-39.0625,-63.52379608154297,146.16085815429688,-564.1588745117188
-39.0625,7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-31.25,7.8125,-46.875,220.21946716308594,206.54757690429688,-168.87742614746094
-39.0625,7.8125,-39.0625,254.24905395507812,202.51434326171875,-224.24334716796875
15.625,7.8125,-39.0625,-63.52379608154297,146.16085815429688,-564.1588745117188
-39.0625,15.625,-46.875,218.43690490722656,176.66070556640625,-233.67047119140625
-31.25,15.625,-46.875,218.43690490722656,176.66070556640625,-233.67047119140625
-39.0625,15.625,-39.0625,281.6821594238281,83.49382781982422,-263.5740051269531
-31.25,15.625,-39.0625,281.6821594238281,83.49382781982422,-263.5740051269531
-23.4375,15.625,-39.0625,281.6821594238281,83.49382781982422,-263.5740051269531
15.625,15.625,-39.0625,-185.425048828125,-103.22582244873047,-500.3965148925781
-23.4375,23.4375,-39.0625,232.4603729248047,116.43289947509766,-326.323486328125
-15.625,23.4375,-39.0625,143.34671020507812,74.29957580566406,-311.50531005859375
-7.8125,23.4375,-39.0625,-108.39964294433594,58.0817985534668,-364.34808349609375
0.0,23.4375,-39.0625,-108.39964294433594,58.0817985534668,-364.34808349609375
7.8125,23.4375,-39.0625,-108.39964294433594,58.0817985534668,-364.34808349609375
15.625,23.4375,-39.0625,-256.7060852050781,38.62467575073242,-472.1600036621094
-15.625,-46.875,-39.0625,81.06668853759766,-32.068756103515625,-374.24847412109375
-7.8125,-46.875,-39.0625,13.114748001098633,-64.85140991210938,-420.8232421875
-15.625,-39.0625,-39.0625,71.02061462402344,284.3299255371094,-387.5856628417969
-7.8125,-39.0625,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
-15.625,-46.875,-31.25,81.06668853759766,-32.068756103515625,-374.24847412109375
-7.8125,-46.875,-31.25,13.114748001098633,-64.85140991210938,-420.8232421875
-15.625,-39.0625,-31.25,71.02061462402344,284.3299255371094,-387.5856628417969
0.0,-46.875,-39.0625,13.114748001098633,-64.85140991210938,-420.8232421875
0.0,-39.0625,-39.0625,28.864639282226562,315.5635681152344,-501.24737548828125
0.0,-46.875,-31.25,13.114748001098633,-64.85140991210938,-420.8232421875
0.0,-39.0625,-31.25,28.864639282226562,315.5635681152344,-501.24737548828125
-31.25,-39.0625,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
-23.4375,-39.0625,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
-31.25,-31.25,-39.0625,25.35774040222168,235.8773956298828,-331.8558349609375
